2.29 4 16 -0.000625586 0.00201049 2.70086 0.0865083 0.0740915 0.000556579 0.776866 0.044654 0.00748333 9.12345e-05 0.751038 0.00744449 0.000111415 2.20264e-06 0.659552 0.00019179 1.32873e-06
2.291 4 16 -0.00369175 0.00189868 2.34832 0.0876155 0.0752436 0.000568829 0.797854 0.0450325 0.00768933 9.51998e-05 0.78582 0.00759418 0.000116792 2.36126e-06 0.697754 0.000199894 1.41259e-06
2.292 4 16 -0.00199038 0.0021431 2.775 0.090974 0.0785803 0.000579318 0.797347 0.0458775 0.0082794 9.91845e-05 0.783621 0.00792314 0.000131318 2.55372e-06 0.694237 0.000216733 1.59792e-06
2.293 4 16 0.00100528 0.00236893 3.17234 0.0940523 0.081703 0.00060693 0.848538 0.0465919 0.00884597 0.00010538 0.825273 0.00820291 0.000145532 2.76942e-06 0.720261 0.000230755 1.76342e-06
2.294 4 16 -0.00207059 0.00258006 3.57232 0.0965298 0.0844835 0.00060065 0.826002 0.0467345 0.00932136 0.00010687 0.821914 0.00833587 0.000156367 2.85064e-06 0.723638 0.000236967 1.84557e-06
2.295 4 16 0.000614315 0.0026609 3.58933 0.0993182 0.0871528 0.000633274 0.884163 0.0476247 0.0098635 0.000112333 0.833105 0.00870289 0.000173021 3.08475e-06 0.720893 0.000256916 2.09265e-06
2.296 4 16 -0.00441289 0.00289861 4.0345 0.102047 0.0901111 0.000659443 0.940406 0.0480869 0.0104321 0.000121054 0.905682 0.00899494 0.00018973 3.47426e-06 0.787788 0.000276799 2.32912e-06
2.297 4 16 -0.00279595 0.0032944 4.87216 0.105541 0.0937064 0.000652384 0.899886 0.0486313 0.0111457 0.000120766 0.852468 0.0092494 0.000209768 3.557e-06 0.748355 0.000290762 2.52427e-06
2.298 4 16 0.000989329 0.00342977 5.00605 0.108399 0.0965519 0.000684296 0.964383 0.0492749 0.01175 0.00013122 0.93094 0.00961713 0.000230544 4.01162e-06 0.81682 0.00031388 2.83572e-06
2.299 4 16 -0.00446378 0.00378676 5.78632 0.11132 0.100027 0.000669609 0.932009 0.0490476 0.0124108 0.00012978 0.888113 0.00973826 0.000248852 3.97203e-06 0.755205 0.000323212 2.965e-06
2.3 4 16 -0.00255143 0.00383956 5.57449 0.114997 0.103592 0.000681025 0.928261 0.0499844 0.0132294 0.000134421 0.877089 0.0101497 0.000278024 4.30248e-06 0.747145 0.000351984 3.36587e-06
2.301 4 16 -0.000678393 0.00429752 6.63146 0.11801 0.107227 0.000686178 0.969621 0.0492768 0.0139255 0.000135902 0.899354 0.0101337 0.000296602 4.33976e-06 0.751469 0.000354011 3.39049e-06
2.302 4 16 0.00164514 0.00451332 6.95243 0.121042 0.11025 0.000705424 0.996377 0.0499741 0.0146523 0.00014434 0.941731 0.0105179 0.000325307 4.81053e-06 0.788063 0.000383195 3.80687e-06
2.303 4 16 0.00937639 0.00515138 8.58495 0.124326 0.11423 0.000725465 1.05482 0.0499498 0.0155433 0.00014903 0.956647 0.0107747 0.000357676 5.15043e-06 0.793085 0.000408969 4.16298e-06
2.304 4 16 -0.00575247 0.00561831 9.54583 0.128589 0.119101 0.000697039 1.02005 0.0488038 0.0165667 0.000148756 0.946327 0.0108134 0.000391372 5.33293e-06 0.809301 0.000419196 4.3002e-06
2.305 4 16 -0.00287453 0.00580707 9.99228 0.129907 0.120097 0.000737176 1.10501 0.0495902 0.0168823 0.00015762 1.0266 0.0110007 0.000406016 5.67988e-06 0.857527 0.000433733 4.51668e-06
2.306 4 16 -1.39985e-05 0.00634652 11.2109 0.134036 0.124617 0.000711075 1.0384 0.0493448 0.017964 0.000154959 0.941868 0.0112909 0.000450176 5.78819e-06 0.773811 0.000465299 4.98358e-06
2.307 4 16 -0.00660864 0.00690276 12.5748 0.137651 0.129148 0.00065518 0.928979 0.0480689 0.0189895 0.000148145 0.858758 0.0113047 0.000488386 5.94207e-06 0.754101 0.000483871 5.19088e-06
2.308 4 16 -0.00196331 0.00765899 14.5791 0.141845 0.133522 0.00068783 1.03133 0.0478949 0.0201218 0.000156804 0.926776 0.011518 0.000537538 6.25914e-06 0.758318 0.000508271 5.57418e-06
2.309 4 16 -0.00600007 0.00765192 14.0771 0.144219 0.136502 0.000642453 0.937992 0.0469082 0.0208329 0.000150902 0.85804 0.0115199 0.000566706 6.32733e-06 0.736904 0.000521221 5.72342e-06
2.31 4 16 -0.00377332 0.00833689 16.1756 0.146582 0.139002 0.000668395 1.02617 0.0466584 0.0214983 0.000155687 0.904353 0.0115768 0.000596186 6.49237e-06 0.739939 0.000533718 5.88854e-06
2.29 4 12 -0.000450637 0.00208582 1.78431 0.11042 0.0958868 0.000609306 0.619305 0.0547507 0.0121916 0.000125292 0.606818 0.0113737 0.000277984 4.67217e-06 0.548156 0.000446245 4.72653e-06
2.291 4 12 0.00194327 0.00216888 1.88761 0.111631 0.0973797 0.000609659 0.623372 0.0546034 0.0124641 0.000125962 0.612938 0.0113773 0.000284782 4.75725e-06 0.568618 0.000446121 4.73319e-06
2.292 4 12 -0.00248682 0.0022406 1.92741 0.114126 0.0999967 0.000611797 0.617602 0.0550503 0.0130296 0.000128291 0.602331 0.0116892 0.000306393 4.94348e-06 0.557034 0.000468381 5.11477e-06
2.293 4 12 -0.00252392 0.00249019 2.27786 0.116674 0.102518 0.000623191 0.624801 0.0557516 0.0136179 0.000131927 0.615655 0.0118897 0.000326797 5.20711e-06 0.588685 0.000479913 5.33968e-06
