2.29 4 12 -0.000450637 0.00208582 1.78431 0.11042 0.0958868 0.000609306 0.619305 0.0547507 0.0121916 0.000125292 0.606818 0.0113737 0.000277984 4.67217e-06 0.548156 0.000446245 4.72653e-06 0.0110995 0.000595358 0.000573432 0.000354782
2.291 4 12 0.00194327 0.00216888 1.88761 0.111631 0.0973797 0.000609659 0.623372 0.0546034 0.0124641 0.000125962 0.612938 0.0113773 0.000284782 4.75725e-06 0.568618 0.000446121 4.73319e-06 0.0136999 0.000602572 0.000584136 0.000508448
2.292 4 12 -0.00248682 0.0022406 1.92741 0.114126 0.0999967 0.000611797 0.617602 0.0550503 0.0130296 0.000128291 0.602331 0.0116892 0.000306393 4.94348e-06 0.557034 0.000468381 5.11477e-06 0.0142246 0.000592349 0.000565635 0.00048938
2.293 4 12 -0.00252392 0.00249019 2.27786 0.116674 0.102518 0.000623191 0.624801 0.0557516 0.0136179 0.000131927 0.615655 0.0118897 0.000326797 5.20711e-06 0.588685 0.000479913 5.33968e-06 0.0232911 0.000605114 0.000588915 0.000542187
2.294 4 12 -0.00330027 0.00246194 2.19019 0.117637 0.103556 0.000614818 0.604998 0.0558954 0.0138479 0.000131974 0.592166 0.0121276 0.000338829 5.34927e-06 0.555722 0.000507426 5.74224e-06 0.0197822 0.000570264 0.000548129 0.000487239
2.295 4 12 0.000411171 0.00268412 2.4558 0.121119 0.107221 0.000636178 0.637937 0.0563244 0.0146685 0.000138653 0.624156 0.0124105 0.000369169 5.731e-06 0.591198 0.000527073 6.12484e-06 0.0290551 0.000628687 0.000603967 0.000546475
2.296 4 12 -0.00381319 0.00258395 2.24016 0.122082 0.108235 0.000643396 0.646344 0.0565917 0.0149171 0.000140237 0.621233 0.0125818 0.000380805 5.80572e-06 0.570672 0.000543462 6.39803e-06 0.0226021 0.000643962 0.000598774 0.00051186
2.297 4 12 0.000391538 0.00295381 2.78012 0.125273 0.111691 0.000636368 0.629409 0.0567217 0.0156919 0.000141642 0.611077 0.012813 0.000410392 6.01862e-06 0.573909 0.000561801 6.75383e-06 0.0393251 0.000613342 0.000580872 0.000517256
2.298 4 12 0.000460972 0.00324771 3.22115 0.127961 0.114307 0.000659477 0.657665 0.0575048 0.0163727 0.000148887 0.639138 0.0131694 0.00044148 6.47315e-06 0.596869 0.000592492 7.31964e-06 0.0592617 0.00066476 0.000630861 0.000556201
2.299 4 12 0.000477606 0.00315291 2.92465 0.130371 0.117041 0.00065333 0.647382 0.0574195 0.0169952 0.000149946 0.629031 0.0133692 0.000467554 6.65196e-06 0.587003 0.000613955 7.71905e-06 0.0464471 0.000645858 0.000612665 0.000539324
2.3 4 12 -0.00263477 0.00333286 3.19661 0.131819 0.118409 0.000661171 0.650358 0.0579755 0.0173815 0.000152791 0.638459 0.0135219 0.00048494 6.7946e-06 0.596787 0.000621958 7.91611e-06 0.0584627 0.000651306 0.000629632 0.000556059
2.301 4 12 0.000306249 0.00352277 3.42136 0.134677 0.121714 0.000665042 0.665706 0.0576388 0.0181361 0.000155548 0.635764 0.013795 0.000519201 7.15996e-06 0.578769 0.000665526 8.63348e-06 0.0706024 0.000856954 0.000624764 0.000525403
2.302 4 12 0.00172913 0.00368559 3.61011 0.137168 0.124266 0.000662592 0.650554 0.0580913 0.0188163 0.000157478 0.630398 0.0140255 0.000550747 7.34414e-06 0.580988 0.00068134 9.00214e-06 0.0776234 0.000651666 0.000615114 0.000529141
2.303 4 12 0.000376356 0.00412546 4.32311 0.140308 0.12815 0.00065812 0.663903 0.0571163 0.0196844 0.000158656 0.644179 0.0139784 0.000582853 7.45246e-06 0.58652 0.000688121 9.07956e-06 0.12841 0.000852637 0.000640015 0.000538503
2.304 4 12 -0.00165177 0.00399619 4.01341 0.141057 0.128732 0.00066129 0.657392 0.0576749 0.0198979 0.000159633 0.63606 0.0141541 0.000596245 7.64172e-06 0.594805 0.000700665 9.36386e-06 0.106223 0.000664255 0.000625298 0.000552652
2.305 4 12 -3.26469e-05 0.0044815 4.82025 0.144343 0.132128 0.000691869 0.70916 0.0580976 0.0208328 0.000167728 0.662736 0.0145694 0.000646251 8.15352e-06 0.601415 0.000743472 1.02418e-05 0.173608 0.000963742 0.000674159 0.000564047
2.306 4 12 -0.00281625 0.00458196 4.90986 0.146226 0.134345 0.000664791 0.661769 0.0577882 0.0213878 0.00016557 0.633841 0.0147061 0.000673685 8.30032e-06 0.58208 0.000769326 1.06928e-05 0.188902 0.000672363 0.000621299 0.000530983
2.307 4 12 0.00283402 0.00491787 5.33524 0.150559 0.139133 0.000667889 0.672651 0.0575859 0.0226738 0.000169662 0.648778 0.0148951 0.000735943 8.73449e-06 0.603029 0.000795381 1.12303e-05 0.229594 0.000873671 0.000648412 0.000566843
2.308 4 12 0.00941751 0.00460778 4.6895 0.150465 0.139189 0.000669035 0.667546 0.0579049 0.0227262 0.000170591 0.639427 0.0150858 0.000744037 8.85718e-06 0.588469 0.00081647 1.16624e-05 0.165468 0.000683124 0.000631384 0.000541819
2.309 4 12 0.00271532 0.00521853 5.79495 0.153296 0.142255 0.000652152 0.650703 0.0571694 0.0235046 0.000168592 0.624719 0.0150835 0.000779957 9.02945e-06 0.580111 0.000838325 1.19546e-05 0.291555 0.000651939 0.000604968 0.000527663
2.31 4 12 -0.00376292 0.00544513 6.05373 0.156496 0.145916 0.000653288 0.664491 0.0566718 0.0245027 0.000171342 0.629406 0.0152723 0.000833603 9.35939e-06 0.586581 0.000864153 1.25194e-05 0.329041 0.000677425 0.000613338 0.000538607
