2018-07-31T17:47:37+02:00
Starting Lattice-QCD simulation with parameters: L=16, seed=1533052057, eps=0.400, beta=2.298, tadpole=1.000
Generating 10000 random SU(2)-matrices...
Initializing 20 x 16^3 lattice...
DEBUG: Delta S = -4.433787e-12
Thermalizing (2000 sweeps)...
Thermalization-acceptance: 0.28
Taking measurements of 1000 configurations(n_corr=50, n_hits=10):
L_r x L_t
1x1		1x2		1x3		1x4		1x5		1x6		1x7		1x8		1x9		1x10		1x11		1x12		
6.021e-01	3.857e-01	2.502e-01	1.623e-01	1.072e-01	7.198e-02	4.810e-02	3.204e-02	2.155e-02	1.476e-02	1.028e-02	7.278e-03	
6.017e-01	3.837e-01	2.481e-01	1.604e-01	1.042e-01	6.721e-02	4.314e-02	2.837e-02	1.948e-02	1.305e-02	9.225e-03	5.676e-03	
6.020e-01	3.854e-01	2.492e-01	1.607e-01	1.032e-01	6.793e-02	4.401e-02	2.826e-02	1.915e-02	1.374e-02	9.919e-03	6.804e-03	
6.035e-01	3.874e-01	2.500e-01	1.610e-01	1.037e-01	6.756e-02	4.444e-02	2.951e-02	1.924e-02	1.111e-02	6.711e-03	4.628e-03	
6.031e-01	3.864e-01	2.506e-01	1.637e-01	1.066e-01	6.967e-02	4.476e-02	2.971e-02	1.899e-02	1.257e-02	8.231e-03	5.253e-03	
6.019e-01	3.851e-01	2.486e-01	1.615e-01	1.056e-01	6.940e-02	4.623e-02	3.005e-02	1.931e-02	1.394e-02	8.780e-03	6.107e-03	
6.017e-01	3.855e-01	2.489e-01	1.605e-01	1.032e-01	6.699e-02	4.316e-02	2.797e-02	1.738e-02	9.311e-03	3.742e-03	7.212e-04	
6.010e-01	3.834e-01	2.491e-01	1.615e-01	1.053e-01	6.820e-02	4.350e-02	2.849e-02	1.878e-02	1.268e-02	8.065e-03	5.440e-03	
6.013e-01	3.844e-01	2.504e-01	1.631e-01	1.061e-01	6.963e-02	4.519e-02	2.928e-02	1.900e-02	1.286e-02	8.174e-03	4.507e-03	
6.027e-01	3.870e-01	2.513e-01	1.628e-01	1.066e-01	6.947e-02	4.525e-02	3.017e-02	1.959e-02	1.268e-02	8.112e-03	5.149e-03	
6.014e-01	3.845e-01	2.498e-01	1.626e-01	1.068e-01	7.029e-02	4.620e-02	3.031e-02	1.935e-02	1.215e-02	8.402e-03	4.655e-03	
6.026e-01	3.854e-01	2.506e-01	1.641e-01	1.073e-01	6.997e-02	4.428e-02	2.885e-02	1.798e-02	1.012e-02	5.893e-03	2.792e-03	
6.006e-01	3.841e-01	2.491e-01	1.623e-01	1.052e-01	6.900e-02	4.519e-02	2.868e-02	1.869e-02	1.223e-02	8.478e-03	6.204e-03	
6.027e-01	3.859e-01	2.507e-01	1.634e-01	1.067e-01	6.949e-02	4.578e-02	3.040e-02	1.965e-02	1.201e-02	7.151e-03	4.405e-03	
6.003e-01	3.826e-01	2.478e-01	1.613e-01	1.058e-01	6.827e-02	4.372e-02	2.850e-02	1.827e-02	1.225e-02	8.329e-03	4.890e-03	
6.015e-01	3.845e-01	2.490e-01	1.629e-01	1.073e-01	6.994e-02	4.572e-02	2.963e-02	1.861e-02	1.087e-02	6.608e-03	3.650e-03	
6.035e-01	3.872e-01	2.506e-01	1.632e-01	1.078e-01	7.047e-02	4.542e-02	2.802e-02	1.716e-02	1.032e-02	6.881e-03	4.281e-03	
